gene,mirna
4355,3
813,3
119,3
529,3
529,3
529,3
6349,3
6349,3
6349,3
6349,3
159,3
159,3
159,3
2649,3
2649,3
2076,3
2076,3
1616,3
4844,3
4844,3
268,3
5403,3
792,3
1268,3
5862,3
5862,3
6496,3
6496,3
87,3
6463,3
5023,3
4692,3
5118,3
3149,3
4125,3
6130,3
1206,3
1206,3
2045,3
5325,3
4946,3
4330,3
186,3
5142,3
5142,3
1917,3
4442,3
1545,3
7282,3
4095,3
3670,3
3471,3
309,3
2515,3
2205,3
6407,3
6643,3
1019,3
1215,4
6571,4
1518,4
1518,4
1518,4
1518,4
7213,4
7213,4
6824,4
6686,4
6531,4
6518,4
6522,4
6522,4
6507,4
5971,4
5965,4
5867,4
5683,4
5629,4
5493,4
5438,4
5364,4
5364,4
5328,4
5126,4
5126,4
4833,4
4581,4
4372,4
4288,4
4222,4
4074,4
4074,4
3428,4
3428,4
3314,4
3307,4
2999,4
2989,4
2950,4
2950,4
2950,4
2950,4
2950,4
2950,4
2950,4
2950,4
2742,4
2348,4
2348,4
2035,4
2016,4
2016,4
1990,4
1910,4
1910,4
1659,4
1370,4
1263,4
1263,4
1244,4
1008,4
990,4
966,4
630,4
612,4
612,4
612,4
612,4
612,4
598,4
306,4
231,4
231,4
231,4
7,4
101,4
3148,4
3148,4
3148,4
3148,4
1211,4
716,4
1118,4
1118,4
2073,4
1119,4
6268,4
5053,4
751,4
1129,4
5237,4
5237,4
5237,4
5038,4
5038,4
5038,4
5038,4
5038,4
5038,4
1926,4
2074,4
2074,4
6764,4
6166,4
6166,4
6166,4
1030,4
5888,4
1231,4
2981,4
479,4
479,4
1123,4
1123,4
1393,4
2094,4
2094,4
1052,4
270,4
485,4
4454,4
4803,4
6170,4
2756,4
2731,4
2258,4
4456,4
3326,4
1914,4
5356,4
4791,4
3791,4
5174,4
1131,4
5412,4
55,4
55,4
6544,4
5341,4
201,4
4643,4
5805,4
662,4
3420,4
2153,4
1487,4
679,4
679,4
1854,4
1905,4
6319,4
5399,4
573,4
573,4
573,4
573,4
90,4
2788,4
3881,4
2958,4
1715,4
5025,4
1925,4
4815,4
4815,4
4815,4
4815,4
4815,4
593,4
593,4
6555,4
3883,4
5706,4
6924,4
5811,4
2740,4
4985,4
7138,4
6302,4
4692,4
5601,4
6766,4
5030,4
5030,4
4916,4
4831,4
432,4
1346,4
3430,4
94,4
1378,4
6524,4
4044,4
4873,4
5370,4
3327,4
3327,4
3327,4
5094,4
5094,4
4428,4
4204,4
5862,4
5862,4
5862,4
5365,4
4491,4
1649,4
1135,4
6656,4
5503,4
4902,4
6266,4
6623,4
3296,4
7165,4
7420,4
5616,4
1579,4
4457,4
4818,4
2710,4
5029,4
4690,4
5350,4
3638,4
3886,4
1913,4
1913,4
2154,4
3421,4
3421,4
1355,4
1355,4
1302,4
7109,4
421,4
5062,4
4927,4
568,4
2801,4
2801,4
5342,4
5993,4
1468,4
6058,4
5697,4
4396,4
6572,4
937,4
2597,4
7446,4
5744,4
7256,4
1312,4
5354,4
354,4
3848,4
1846,4
1548,4
442,4
1837,4
6052,4
1843,4
7531,4
2960,4
2960,4
5243,4
5122,4
3943,4
1601,4
4453,4
1714,4
1233,4
2005,4
3653,4
7377,4
7377,4
1356,4
1356,4
6658,4
6658,4
7360,4
4675,4
5900,4
5900,4
5900,4
5900,4
7084,4
4469,4
7258,4
3586,4
6298,4
4022,4
3412,4
1352,4
3974,4
6815,4
6521,4
7500,4
7500,4
2988,4
3936,4
4947,4
5024,4
5604,4
5604,4
5056,4
4904,4
3230,4
1628,4
26,4
6651,4
6651,4
7347,4
20,4
4073,4
5678,4
3392,4
5073,4
6783,4
1115,4
3425,4
2708,4
4932,4
1117,4
4696,4
2102,4
628,4
24,4
5463,4
581,4
1842,4
419,4
680,4
6535,4
5111,4
6841,4
100,4
1816,4
2217,4
5344,4
2625,4
4508,4
6986,4
689,4
1206,4
914,4
4727,4
261,4
3101,4
6655,4
1802,4
4199,4
106,4
7263,4
2148,4
5647,4
6014,4
6089,4
6926,4
3645,4
5421,4
1169,4
6712,4
6153,4
5386,4
513,4
5533,4
622,4
5274,4
4542,4
5994,4
5455,4
3024,4
3753,4
5625,4
3084,4
2222,4
3488,4
6085,4
3508,4
5361,4
2368,4
5539,4
1495,4
6479,4
2548,4
3017,4
3258,4
4814,4
5142,4
750,4
181,4
876,4
4527,4
3045,4
797,4
2290,4
454,4
2414,4
6236,4
7434,4
3552,4
6394,4
3682,4
480,4
480,4
480,4
480,4
2053,4
7015,4
5712,4
814,4
7502,4
1357,4
4915,4
6657,4
550,4
2500,4
4093,4
3244,4
545,4
2881,4
3278,4
4270,4
1839,4
3171,4
6429,4
773,4
6832,4
4426,4
361,4
5495,4
5929,4
4595,4
302,4
4945,4
4135,4
6232,4
5445,4
5445,4
6991,4
4620,4
7454,4
7480,4
208,4
4198,4
4198,4
4452,4
2696,4
3635,4
3948,4
843,4
664,4
5667,4
1197,4
5513,4
1446,4
7239,4
6391,4
4607,4
3617,4
6922,4
148,4
2889,4
2732,4
621,4
621,4
2078,4
1756,4
2260,4
4111,4
3429,4
2075,4
722,4
2639,4
4196,4
1413,4
5026,4
4133,4
4184,4
4337,4
3177,4
4463,4
5699,4
4982,4
4395,4
4395,4
5885,4
3457,4
5566,4
3095,4
6076,4
1409,4
163,4
163,4
2184,4
5120,4
6142,4
4037,4
5794,4
2955,4
3248,4
4777,4
6725,4
2398,4
2996,4
166,4
3334,4
2627,4
5791,4
3602,4
477,4
4917,4
4150,4
3463,4
6765,4
5110,4
1663,4
1153,4
7223,4
4046,4
3447,4
333,4
5476,4
2893,4
4609,4
2177,4
2888,4
4773,4
4331,4
495,4
3597,4
547,4
2985,4
5037,4
3427,4
1682,4
3765,4
6090,4
6667,4
6705,4
1041,4
1041,4
7413,4
4113,4
2761,4
6382,4
6811,4
1900,4
1696,4
2714,4
831,4
3153,4
3138,4
3270,4
5006,4
5006,4
5006,4
5006,4
1719,4
586,4
3850,4
4374,4
4374,4
4374,4
4374,4
4374,4
4637,4
4536,4
1083,4
5071,4
5071,4
1912,4
1124,4
3325,4
3325,4
3325,4
3325,4
2281,4
2281,4
6666,4
6666,4
6666,4
6666,4
6666,4
4860,4
658,4
6653,4
6653,4
53,4
53,4
53,4
53,4
53,4
6940,4
976,4
5358,4
7395,4
7395,4
1639,4
1639,4
6990,4
4052,4
917,4
917,4
917,4
917,4
917,4
917,4
917,4
1267,4
1267,4
2096,4
1282,4
1424,4
1424,4
1424,4
1424,4
6509,4
6509,4
825,4
825,4
825,4
4386,4
4496,4
3652,4
344,4
344,4
2562,4
4794,4
5698,4
2637,4
5770,4
5770,4
4290,4
6165,4
4693,4
4693,4
4862,4
4862,4
1536,4
7018,4
7018,4
6022,4
5428,4
5428,4
5346,4
5346,4
5346,4
5292,4
5121,4
4750,4
4027,4
4027,4
3964,4
3592,4
3288,4
3082,4
3082,4
2667,4
2667,4
2404,4
2404,4
626,4
626,4
625,4
564,4
378,4
378,4
212,4
209,4
6738,4
5294,4
1314,4
7087,4
6728,4
6491,4
2755,4
4185,4
3120,4
3120,4
6950,4
6950,4
6601,4
6601,4
5718,4
4767,4
4090,4
4090,4
4090,4
4090,4
1315,4
1296,4
839,4
2530,4
2530,4
2530,4
2530,4
1187,4
1187,4
4522,4
4522,4
2653,4
2653,4
2050,4
6159,4
4867,4
6501,4
5293,4
7195,4
4332,4
2234,4
2032,4
1538,4
1134,4
3623,4
98,4
5777,4
5255,4
5077,4
871,4
871,4
5084,4
2198,4
2198,4
4960,4
2844,4
2844,4
7200,4
2860,4
2353,4
499,4
5924,4
792,4
6914,4
2025,4
2155,4
1949,4
6504,4
3471,4
3471,4
4377,4
1574,4
2611,4
1965,4
161,4
161,4
161,4
4636,4
3633,4
4481,4
1268,4
1637,4
2711,4
3630,4
4067,4
5251,4
6744,4
7025,4
7237,4
7481,4
3375,4
5552,4
6962,4
7294,4
1215,4
1215,4
306,4
3148,4
3148,4
3148,4
1211,4
1260,4
1118,4
1118,4
1118,4
1119,4
1119,4
1114,4
3832,4
3326,4
5471,4
3226,4
1762,4
3457,4
3325,4
1529,4
1587,4
244,4
7279,4
3815,4
2331,4
2071,4
3148,5
3148,5
3148,5
3148,5
2603,5
2603,5
970,5
970,5
970,5
5755,5
5755,5
5755,5
5755,5
5755,5
6162,5
6162,5
3166,5
3686,5
3686,5
1849,5
2453,5
4523,5
4523,5
299,5
299,5
4044,5
4044,5
4044,5
4044,5
3292,5
4348,5
5637,5
971,5
971,5
7461,5
6661,5
5006,5
4034,5
3029,5
2530,5
2525,5
6442,5
6442,5
6442,5
1628,5
7371,5
4825,5
4825,5
7427,5
4419,5
4419,5
6267,5
7489,5
7489,5
3856,5
3856,5
3694,5
1479,5
1408,5
661,5
661,5
3721,5
1848,5
6652,5
6652,5
3011,5
4565,5
2556,5
6322,5
4576,5
4576,5
3509,5
5750,5
2243,5
4858,5
2369,5
4643,5
3375,5
3148,6
3148,6
3148,6
3148,6
4395,6
5711,6
3425,6
5931,6
100,6
6232,6
2604,6
4167,6
1123,6
914,6
1679,6
106,6
6658,6
5712,6
5539,6
6841,6
5455,6
722,6
1031,6
1802,6
6090,6
4805,6
4934,6
7321,6
6638,6
2148,6
2146,6
6518,6
2046,6
1839,6
4099,6
3429,6
6721,6
1549,6
2955,6
5607,6
116,6
6128,6
6426,6
593,6
933,6
333,6
3515,6
2871,6
1352,6
6991,6
3948,6
5006,6
5006,6
5006,6
5006,6
783,6
495,6
3787,6
5740,6
1971,6
6719,6
5003,6
4212,6
5816,6
1820,6
5383,6
2000,6
7056,6
2418,6
4705,6
4150,6
1663,6
2698,6
6656,6
3447,6
679,6
2985,6
4438,6
6487,6
1117,6
5633,6
2549,6
5699,6
2652,6
1124,6
1912,6
3325,6
3325,6
3325,6
3325,6
163,6
2281,6
2281,6
7377,6
480,6
480,6
480,6
6666,6
6666,6
6666,6
6666,6
6666,6
4860,6
658,6
6653,6
6653,6
2950,6
2950,6
2950,6
2950,6
2950,6
2950,6
53,6
53,6
53,6
53,6
53,6
6940,6
5038,6
5038,6
5038,6
5038,6
976,6
5358,6
7395,6
7395,6
1639,6
1639,6
6990,6
4052,6
917,6
917,6
917,6
917,6
917,6
917,6
917,6
1267,6
2073,6
2096,6
1282,6
5126,6
1424,6
1424,6
1424,6
1424,6
699,6
5094,6
5071,6
6166,6
6509,6
6509,6
825,6
825,6
825,6
4386,6
4496,6
5445,6
612,6
612,6
612,6
612,6
6914,6
6914,6
6845,6
6647,6
6054,6
5976,6
5965,6
5820,6
3986,6
3289,6
3208,6
3243,6
2331,6
1981,6
1936,6
1627,6
479,6
479,6
3652,6
344,6
344,6
2562,6
4794,6
5698,6
2637,6
2801,6
5770,6
5770,6
4290,6
6165,6
4693,6
4693,6
4862,6
4862,6
1536,6
7018,6
7018,6
6022,6
5428,6
5428,6
5346,6
5346,6
5346,6
5292,6
5121,6
4750,6
4374,6
4374,6
4374,6
4374,6
4027,6
4027,6
3964,6
3592,6
3288,6
3082,6
3082,6
2667,6
2667,6
2404,6
2404,6
1118,6
1118,6
626,6
626,6
625,6
573,6
573,6
573,6
564,6
378,6
378,6
212,6
209,6
5237,6
5237,6
6738,6
5294,6
1314,6
7087,6
6728,6
6491,6
2755,6
4185,6
3120,6
3120,6
7213,6
6950,6
6950,6
6601,6
6601,6
5718,6
4767,6
4090,6
4090,6
4090,6
4090,6
1315,6
1296,6
839,6
4815,6
4815,6
4815,6
2530,6
2530,6
2530,6
2530,6
1518,6
1518,6
1518,6
1187,6
1187,6
5900,6
5900,6
5900,6
4522,6
4522,6
2653,6
2653,6
2050,6
6159,6
4867,6
5862,6
5862,6
6501,6
5293,6
7195,6
4332,6
3327,6
3327,6
2234,6
2032,6
1538,6
1134,6
1041,6
3623,6
98,6
231,6
231,6
5777,6
5255,6
5077,6
871,6
871,6
5084,6
2198,6
2198,6
4960,6
2844,6
2844,6
2074,6
7200,6
2860,6
2353,6
499,6
3421,6
5924,6
792,6
2025,6
1263,6
2155,6
1949,6
6504,6
3471,6
3471,6
4377,6
1574,6
2611,6
621,6
1965,6
161,6
161,6
161,6
4636,6
3633,6
2094,6
4481,6
1637,6
2711,6
3630,6
4067,6
4074,6
4198,6
5251,6
6744,6
7025,6
7237,6
7481,6
3375,6
5552,6
6962,6
7294,6
1211,6
3148,6
3148,6
3148,6
3148,6
4395,6
1555,6
2913,6
1552,6
3325,6
3485,6
4040,6
4040,6
4370,6
5982,6
3374,6
7490,6
3254,6
6915,6
1019,6
6711,7
5699,7
2988,7
3185,7
1296,7
5041,7
3148,8
3148,8
3148,8
5052,8
966,8
4747,8
822,8
7097,8
2467,8
5016,8
3179,8
1036,8
7213,8
7213,8
7294,8
7294,8
231,8
231,8
3327,8
3327,8
6156,8
6785,8
2258,8
747,8
1314,8
1314,8
5346,8
5346,8
5346,8
5346,8
839,8
839,8
1926,8
7377,8
7377,8
156,8
7416,8
6941,8
5006,8
5006,8
5006,8
3833,8
5786,8
517,8
6558,8
2281,8
2281,8
2281,8
53,8
53,8
53,8
53,8
53,8
53,8
2800,8
2353,8
6824,8
479,8
479,8
4860,8
4860,8
6653,8
6653,8
3325,8
3325,8
3325,8
3325,8
3325,8
6509,8
6509,8
6104,8
1684,8
1910,8
3009,8
4525,8
3915,8
163,8
480,8
480,8
480,8
6666,8
6666,8
6666,8
6666,8
6666,8
658,8
2950,8
2950,8
2950,8
2950,8
2950,8
2950,8
6940,8
5038,8
5038,8
5038,8
5038,8
976,8
5358,8
7395,8
7395,8
1639,8
1639,8
6990,8
4052,8
917,8
917,8
917,8
917,8
917,8
917,8
917,8
1267,8
2096,8
1282,8
5126,8
1424,8
1424,8
1424,8
1424,8
5094,8
5071,8
6166,8
825,8
825,8
825,8
4386,8
4496,8
5445,8
612,8
612,8
612,8
612,8
4395,8
3652,8
344,8
344,8
2562,8
4794,8
5698,8
2637,8
2801,8
5770,8
5770,8
4290,8
6165,8
4693,8
4693,8
4862,8
4862,8
1536,8
7018,8
7018,8
6022,8
5428,8
5428,8
5292,8
